"name","team_name","game_date","season","espn_player_id","team_id","espn_game_id","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y","dribbles","touch_time","defender_name","defender_distance","shot_clock"
"CJ McCollum","Portland Trail Blazers","2015-12-12",2015,2490149,1610612757,400828239,2,7,26,0,"Jump Shot","3PT Field Goal",26.1,"New York Knicks",-181,200,4,4.2,"Galloway, Langston",3.7,18.7
"Marcus Morris","Detroit Pistons","2015-12-12",2015,6462,1610612765,400828233,2,0,47,0,"Jump Shot","3PT Field Goal",25,"Indiana Pacers",-204,164,4,6,"George, Paul",2,7.2
"Nik Stauskas","Philadelphia 76ers","2015-12-13",2015,2991042,1610612755,400828242,1,2,48,1,"Jump Shot","3PT Field Goal",23.1,"Toronto Raptors",-233,-1,0,0.7,"Joseph, Cory",4.4,12.7
"Patrick Beverley","Houston Rockets","2015-12-12",2015,3964,1610612745,400828236,1,9,50,0,"Jump Shot","3PT Field Goal",24.5,"Los Angeles Lakers",-135,200,1,2.3,"Russell, D'Angelo",4.7,15
"Doug McDermott","Chicago Bulls","2015-12-12",2015,2528588,1610612741,400828235,4,7,44,0,"Jump Shot","3PT Field Goal",24.7,"New Orleans Pelicans",-168,178,0,0.8,"Evans, Tyreke",5.9,15.1
"Bradley Beal","Washington Wizards","2015-12-09",2015,6580,1610612764,400828208,2,7,56,1,"Jump Shot","3PT Field Goal",26.8,"Houston Rockets",-151,249,0,1.2,"Harden, James",6.9,0
"Wesley Matthews","Dallas Mavericks","2015-12-12",2015,4032,1610612742,400828237,1,6,10,0,"Jump Shot","3PT Field Goal",24.8,"Washington Wizards",-84,228,1,1.2,"Porter, Otto",5,16.3
"DAngelo Russell","Los Angeles Lakers","2015-11-01",2015,3136776,1610612747,400827932,2,5,43,0,"Jump Shot","3PT Field Goal",23.8,"Dallas Mavericks",-235,38,0,0.9,"Williams, Deron",3.8,4.4
"Reggie Jackson","Detroit Pistons","2015-12-12",2015,6443,1610612765,400828233,1,4,32,0,"Jump Shot","3PT Field Goal",25.2,"Indiana Pacers",51,267,20,16.2,"Miles, CJ",5.4,7.7
"Paul George","Indiana Pacers","2015-12-12",2015,4251,1610612754,400828233,4,6,6,0,"Jump Shot","3PT Field Goal",24.6,"Detroit Pistons",-142,223,3,3,"Blake, Steve",0.9,15.4
"Jared Dudley","Washington Wizards","2015-12-12",2015,3201,1610612764,400828237,4,0,55,0,"Jump Shot","3PT Field Goal",24.1,"Dallas Mavericks",105,223,1,1,"Harris, Devin",6.7,3.9
"Marvin Williams","Charlotte Hornets","2015-12-12",2015,2797,1610612766,400828232,1,11,29,0,"Jump Shot","3PT Field Goal",25.7,"Boston Celtics",17,252,0,0.8,"Bradley, Avery",7.2,12.4
"Tony Snell","Chicago Bulls","2015-12-12",2015,2528353,1610612741,400828235,1,10,24,0,"Jump Shot","3PT Field Goal",24.2,"New Orleans Pelicans",87,232,0,0.8,"Gordon, Eric",5,11.4
"Kent Bazemore","Atlanta Hawks","2015-12-12",2015,6637,1610612737,400828234,2,1,13,0,"Jump Shot","3PT Field Goal",22.2,"San Antonio Spurs",230,11,0,0.6,"Leonard, Kawhi",5.2,18.5
"JJ Redick","Los Angeles Clippers","2015-12-12",2015,3024,1610612746,400828231,4,1,55,0,"Jump Shot","3PT Field Goal",26.2,"Brooklyn Nets",92,224,0,0.7,"Bogdanovic, Bojan",5.2,11.5
"Ersan Ilyasova","Detroit Pistons","2015-12-12",2015,2767,1610612765,400828233,1,1,7,0,"Jump Shot","3PT Field Goal",24.6,"Indiana Pacers",-179,174,0,1.1,"Allen, Lavoy",5,15.2
"Kyle Korver","Atlanta Hawks","2015-12-12",2015,2011,1610612737,400828234,3,7,14,0,"Jump Shot","3PT Field Goal",24.5,"San Antonio Spurs",-61,237,0,0.7,"Duncan, Tim",5.8,16.6
"OJ Mayo","Milwaukee Bucks","2015-12-12",2015,3450,1610612749,400828238,3,5,28,0,"Jump Shot","3PT Field Goal",24.7,"Golden State Warriors",99,239,11,10.8,"Curry, Stephen",4,13.3
"AlFarouq Aminu","Portland Trail Blazers","2015-12-12",2015,4248,1610612757,400828239,4,3,40,0,"Jump Shot","3PT Field Goal",24.5,"New York Knicks",204,146,0,1,"Anthony, Carmelo",5.5,11.9
"Joe Johnson","Brooklyn Nets","2015-12-12",2015,1007,1610612751,400828231,2,3,5,0,"Jump Shot","3PT Field Goal",24,"Los Angeles Clippers",58,237,1,1.4,"Griffin, Blake",6.3,14
"Nick Young","Los Angeles Lakers","2015-12-12",2015,3243,1610612747,400828236,4,4,46,0,"Jump Shot","3PT Field Goal",22.7,"Houston Rockets",228,-6,0,0.7,"Harden, James",5.4,9.1
"Patty Mills","San Antonio Spurs","2015-12-12",2015,4004,1610612759,400828234,1,3,38,0,"Jump Shot","3PT Field Goal",24.5,"Atlanta Hawks",137,208,0,0.8,"Muscala, Mike",6.1,6.1
"Chris Paul","Los Angeles Clippers","2015-12-12",2015,2779,1610612746,400828231,3,5,36,0,"Jump Shot","3PT Field Goal",26.8,"Brooklyn Nets",78,232,8,7,"Jack, Jarrett",7.3,15.2
"JJ Redick","Los Angeles Clippers","2015-12-12",2015,3024,1610612746,400828231,1,4,9,0,"Jump Shot","3PT Field Goal",24.6,"Brooklyn Nets",-204,139,0,0.7,"Bogdanovic, Bojan",5.1,19.2
"Carmelo Anthony","New York Knicks","2015-12-12",2015,1975,1610612752,400828239,1,8,10,0,"Jump Shot","3PT Field Goal",24.1,"Portland Trail Blazers",-163,208,0,0.9,"Lillard, Damian",3.1,11.8
"Langston Galloway","New York Knicks","2015-12-12",2015,2530572,1610612752,400828239,2,8,27,0,"Jump Shot","3PT Field Goal",24.7,"Portland Trail Blazers",184,178,0,1.1,"McCollum, CJ",5.3,16.1
"Wesley Matthews","Dallas Mavericks","2015-12-09",2015,4032,1610612742,400828215,4,5,57,1,"Jump Shot","3PT Field Goal",25.1,"Atlanta Hawks",-202,134,0,0.8,"Sefolosha, Thabo",7.1,0
"Nicolas Batum","Charlotte Hornets","2015-12-12",2015,3416,1610612766,400828232,2,1,31,0,"Jump Shot","3PT Field Goal",24.3,"Boston Celtics",-91,229,2,6.5,"Turner, Evan",3.2,6
